"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-15","0.01",",,0,0800",,,"9",",,0","-4",",,0","-2",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-16","0.00","T,,0,0800",,,"8",",,0","-4",",,0","2",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-17","0.00","P,,0,0800",,,"14",",,0","-4",",,0","13",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-18","0.00","P,,0,0800",,,"26",",,0","13",",,0","18",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-19","0.00","P,,0,0800",,,"28",",,0","15",",,0","19",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-20","0.00","P,,0,0800",,,"32",",,0","14",",,0","22",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-21","0.00","P,,0,0800",,,"31",",,0","16",",,0","23",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-22","0.00","P,,0,0800",,,"40",",,0","18",",,0","24",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-23","0.09",",,0,0800",,,"43",",,0","24",",,0","30",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-24","0.05",",,0,0800",,,"34",",,0","23",",,0","25",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-25","0.00","P,,0,0800",,,"33",",,0","19",",,0","24",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-26","0.00","P,,0,0800",,,"33",",,0","21",",,0","26",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-27","0.00","P,,0,0800",,,"36",",,0","19",",,0","20",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-02-28","0.00","T,,0,0800",,,"37",",,0","20",",,0","35",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-01","0.00","P,,0,0800",,,"48",",,0","35",",,0","43",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-02","0.53",",,0,0800",,,"46",",,0","34",",,0","36",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-03","0.00","P,,0,0800",,,"36",",,0","26",",,0","30",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-04","0.04",",,0,0800",,,"34",",,0","19",",,0","22",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-05","0.00","P,,0,0800",,,"31",",,0","22",",,0","27",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-03-06","0.00","P,,0,0800",,,"38",",,0","23",",,0","35",",,0,0800"
